"iati-identifier","title","reporting-org","total-commitment","total-spend","currency","link","activity-status"
"CA-3-D004274001","Transforming the Market for Stoves and Clean Energy in Haiti","Canada - Global Affairs Canada | Affaires mondiales Canada","10,747,846","8,883,194","USD","https://d-portal.org/ctrack.html#view=act&aid=CA-3-D004274001",2
"CA-3-P002016003","Inclusive Local Governance Support in Haiti","Canada - Global Affairs Canada | Affaires mondiales Canada","337,377","337,508","USD","https://d-portal.org/ctrack.html#view=act&aid=CA-3-P002016003",2
"CA-3-D003623001","Access to Judicial Services in Haiti","Canada - Global Affairs Canada | Affaires mondiales Canada","16,984,018","15,923,665","USD","https://d-portal.org/ctrack.html#view=act&aid=CA-3-D003623001",2
"US-EIN-042103594-GCCI-3978870","Governance, Crime, and Conflict Initiative","Abdul Latif Jameel Poverty Action Lab at MIT","16,312,842",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=US-EIN-042103594-GCCI-3978870",2
"CA-3-P006668001","Achieving Equality through Human Right Education","Canada - Global Affairs Canada | Affaires mondiales Canada","13,882,083","12,736,219","USD","https://d-portal.org/ctrack.html#view=act&aid=CA-3-P006668001",2
"XI-IATI-WBTF-TF073053","Support for Girls Access to Secondary Education in Haiti","World Bank Trust Funds","18,557,534",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-WBTF-TF073053",2
"XM-DAC-41114-PROJECT-00084852","Appui Gouvernance Locale et Developpement Territorial","United Nations Development Programme (UNDP)",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-PROJECT-00084852",2
"XI-IATI-WBTF-P155191","Providing an Education of Quality in Haiti (PEQH)","World Bank Trust Funds","19,057,014","19,057,014","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-WBTF-P155191",2
"CA-3-D003813001","Inclusive Local Governance Support in Haiti","Canada - Global Affairs Canada | Affaires mondiales Canada","11,587,413","11,837,470","USD","https://d-portal.org/ctrack.html#view=act&aid=CA-3-D003813001",2
"US-GOV-1-AID-OAA-IO-16-00003","Health: PAHO Umbrella Grant 2016-2021","United States Agency for International Development (USAID)","59,693,448","57,960,688","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-AID-OAA-IO-16-00003",3
"US-GOV-21-52132","Support to farmers living in the poor rural community of La Mecette (Saltadre) for reducing food insecurity","Inter-American Foundation","125,000","28,321","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-21-52132",3
"US-GOV-21-52131","Projet d?appui au renforcement des moyens de subsistances des familles paysannes dans la 2me section Communale de Mance, Commune Anse-a-Foleur","Inter-American Foundation","125,000","28,632","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-21-52131",3
"CH-4-2020000961","HT: OEA Lutte anticorruption","Switzerland - Swiss Agency for Development and Cooperation (SDC)","4,276,208","956,520","USD","https://d-portal.org/ctrack.html#view=act&aid=CH-4-2020000961",2
"CH-4-2020000962","HT: OEA Lutte anticorruption","Switzerland - Swiss Agency for Development and Cooperation (SDC)","56,265",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=CH-4-2020000962",2
